Iteration number,Data misfit,Artificial Hamiltonian,Kinetic Energy,Potential Energy
1,0.9879540917269489,3.9605968698759964,3.4725696896537905,0.4880271802222058
2,1.0363657102066224,3.961191235179708,3.4241539046677496,0.5370373305119587
3,1.093464640365366,3.9619410281015397,3.3640466859764633,0.5978943421250764
4,1.147616310724599,3.9627103182512817,3.303971392177295,0.6587389260739868
5,1.1889219347971487,3.963358609698254,3.2559540032635175,0.7074046064347365
6,1.2100795546243555,3.9637660377203554,3.2301261712263027,0.7336398664940528
7,1.2065868058992253,3.9638546799059187,3.2328500825241946,0.731004597381724
8,1.1767392307804492,3.9636025988482744,3.265499843267435,0.6981027555808392
9,1.1216358550482233,3.9630481361580085,3.324119373568174,0.6389287625898344
10,1.0452905477750503,3.9622833885257362,3.4000224880003773,0.5622609005253589
11,0.9549121436707552,3.961438219986813,3.4812341460052396,0.48020407398157344
12,0.8613362894505813,3.960657951805112,3.55452423838882,0.4061337134162919
13,0.7791907426276895,3.9600775380415594,3.607679921484473,0.35239761655708657
14,0.7252411359527362,3.959798152653147,3.6316181097185063,0.328180042934641
15,0.7125209906563562,3.9598692641828164,3.621968150902849,0.337901113279967
16,0.7421997836262705,3.960279871018055,3.579845773233115,0.3804340977849398
17,0.8023106588035589,3.960960248124845,3.511680525681041,0.4492797224438041
18,0.8753012986410662,3.961794036533397,3.428124487044688,0.5336695494887089
19,0.945224281865385,3.962638247039424,3.342230521754194,0.6204077252852302
20,1.0002545024619094,3.9633482768612107,3.2672149875370327,0.6961332893241781
21,1.0326467610489283,3.9638024640229714,3.214192641900987,0.749609822121984
22,1.0381911632248249,3.963924324928359,3.1902783701414275,0.7736459547869314
23,1.0158433618859921,3.9636949373666486,3.1973855223651553,0.7663094150014932
24,0.9676359311668676,3.9631562004301077,3.2319281017588595,0.7312280986712485
25,0.8988889143764383,3.9624026355637554,3.2854742457159603,0.6769283898477952
26,0.8187546006149837,3.9615670104163705,3.346235826316821,0.6153311840995496
27,0.7409547440875193,3.9607941000816513,3.4011325246034643,0.5596615754781871
28,0.683600715268248,3.960218439734207,3.438069325672264,0.5221491140619432
29,0.6649584253901386,3.959939360697784,3.4480369178573707,0.5119024428404135
30,0.6935776933575808,3.960003332908516,3.4266623421226154,0.5333409907859005
31,0.7619248409647394,3.9603982040314,3.3749453600148844,0.5854528440165153
32,0.852508834238097,3.9610537146410403,3.29906290650594,0.6619908081351006
33,0.9475133400619201,3.961854584745195,3.209271318513484,0.7525832662317113
34,1.032990930490034,3.9626616467762448,3.1181050150185112,0.8445566317577333
35,1.099127822606255,3.9633342747371882,3.0381909676867087,0.9251433070504795
36,1.1395740408526427,3.9637574930717943,2.980060283752728,0.9836972093190666
37,1.1508975766043859,3.963858957542409,2.9503357579614127,1.0135231995809966
38,1.132287248056658,3.9636235380271563,2.9506092053465816,1.0130143326805747
39,1.0854433615000099,3.9630965149101476,2.9772097700955404,0.9858867448146073
40,1.0146201751763424,3.962371502437495,3.0218914030533237,0.9404800993841712
41,0.9268323029873952,3.961575942261004,3.0733043866842262,0.888271555576778
42,0.8322324223949568,3.960850241650669,3.11900113009458,0.8418491115560891
43,0.744425853395238,3.960321261355827,3.147625942832914,0.8126953185229129
44,0.679590963120632,3.9600811041177897,3.15090138776879,0.8091797163489994
45,0.651975623831682,3.96017006619872,3.125065157329408,0.8351049088693121
46,0.6657590911711675,3.960571632070202,3.07150676980845,0.8890648622617515
47,0.7114003650167361,3.9612131185857824,2.9965002735849677,0.9647128450008147
48,0.7719437758985146,3.961981665220538,2.9100829960718455,1.0518986691486922
49,0.8311637568433367,3.9627421821858073,2.8242790757888763,1.138463106396931
50,0.8769763168220318,3.963362041097305,2.750988866681676,1.2123731744156292
51,0.9016083939460475,3.963733134587294,2.699911527553411,1.2638216070338832
52,0.9010083444320773,3.9637925099182656,2.6768607553998116,1.2869317545184538
53,0.8744301547341023,3.963530845502186,2.6827698650162914,1.2807609804858946
54,0.8243740655912077,3.9629956020463384,2.713549916184454,1.2494456858618845
55,0.7569448026704774,3.9622811663841557,2.7608265893405504,1.2014545770436054
56,0.6826972077625829,3.9615114012897283,2.813416333876959,1.148095067412769
57,0.6176357032511238,3.960821280751488,2.8592784631599493,1.101542817591539
58,0.582098704063032,3.960328909433321,2.887608388936744,1.0727205204965775
59,0.5927556249183189,3.9601184288351394,2.8906985206341966,1.0694199082009426
60,0.6505629053006735,3.9602231680476736,2.8652449085124068,1.0949782595352666
61,0.7407535209838646,3.9606227234215874,2.812880653190561,1.1477420702310266
62,0.8443354412851565,3.9612434200933713,2.739844097894417,1.221399322198954
63,0.9455559370736721,3.961976677836774,2.6558477158364107,1.3061289620003633
64,1.0330761680040628,3.9626940190739184,2.5723627136121334,1.390331305461785
65,1.0992018186667178,3.9632711521885207,2.500612080078928,1.4626590721095925
66,1.1391573241346982,3.9636082593510342,2.44962304231015,1.5139852170408843
67,1.150683484106013,3.9636512517462363,2.424682977320231,1.5389682744260051
68,1.1338621866679057,3.963396515314119,2.4264726423299416,1.5369238729841774
69,1.0910783002901292,3.9628919970814844,2.4510069556739396,1.5118850414075449
70,1.0270787277222106,3.9622292100976457,2.490389164808039,1.4718400452896065
